Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink
Metabolic pathways,KEGG PATHWAY,hsa01100,74,1433,3.63E-87,3.19E-85,224|217|23530|6391|5224|669|56954|5313|219|10476|498|2597|5337|5211|6392|518|230|2821|79966|1544|10797|1635|790|5230|6389|5232|26330|2026|5315|521|522|509|506|4860|4524|501|5288|55276|2023|29922|151531|5287|5286|1491|4830|229|10201|226|539|223|441024|1543|51071|1557|5223|7372|6390|4832|29968|4522|10632|4831|9791|2027|517|51727|9551|139596|513|6319|515|514|26227|516,http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:230%09red/hsa:5288%09red/hsa:4860%09red/hsa:10797%09red/hsa:224%09red/hsa:5287%09red/hsa:5286%09red/hsa:56954%09red/hsa:5224%09red/hsa:517%09red/hsa:516%09red/hsa:515%09red/hsa:514%09red/hsa:513%09red/hsa:1544%09red/hsa:669%09red/hsa:10632%09red/hsa:26330%09red/hsa:217%09red/hsa:441024%09red/hsa:2821%09red/hsa:2026%09red/hsa:2027%09red/hsa:2597%09red/hsa:6389%09red/hsa:1635%09red/hsa:5211%09red/hsa:4522%09red/hsa:9791%09red/hsa:10201%09red/hsa:5230%09red/hsa:55276%09red/hsa:5232%09red/hsa:518%09red/hsa:5313%09red/hsa:4524%09red/hsa:5337%09red/hsa:6390%09red/hsa:4830%09red/hsa:226%09red/hsa:223%09red/hsa:6391%09red/hsa:4832%09red/hsa:4831%09red/hsa:139596%09red/hsa:229%09red/hsa:6392%09red/hsa:79966%09red/hsa:5315%09red/hsa:506%09red/hsa:26227%09red/hsa:501%09red/hsa:9551%09red/hsa:1557%09red/hsa:498%09red/hsa:51727%09red/hsa:522%09red/hsa:509%09red/hsa:521%09red/hsa:23530%09red/hsa:790%09red/hsa:539%09red/hsa:29922%09red/hsa:151531%09red/hsa:7372%09red/hsa:5223%09red/hsa:51071%09red/hsa:1543%09red/hsa:6319%09red/hsa:2023%09red/hsa:10476%09red/hsa:1491%09red/hsa:219%09red/hsa:29968%09red
Glycolysis / Gluconeogenesis,KEGG PATHWAY,hsa00010,23,68,3.81E-41,1.68E-39,217|2597|669|219|5211|230|2821|5313|5232|26330|5315|501|55276|229|226|224|223|5223|5224|5230|2026|2027|2023,http://www.genome.jp/kegg-bin/show_pathway?hsa00010/hsa:230%09red/hsa:669%09red/hsa:219%09red/hsa:2821%09red/hsa:26330%09red/hsa:217%09red/hsa:2023%09red/hsa:2026%09red/hsa:2027%09red/hsa:5211%09red/hsa:5232%09red/hsa:5230%09red/hsa:55276%09red/hsa:5313%09red/hsa:224%09red/hsa:226%09red/hsa:223%09red/hsa:229%09red/hsa:5315%09red/hsa:501%09red/hsa:5223%09red/hsa:5224%09red/hsa:2597%09red
Carbon metabolism,KEGG PATHWAY,hsa01200,22,117,1.98E-34,5.80E-33,29968|2597|5211|6389|2821|5313|230|5232|5315|5230|4524|229|226|5223|6390|6391|5224|6392|2026|2027|2023|26227,http://www.genome.jp/kegg-bin/show_pathway?hsa01200/hsa:230%09red/hsa:2821%09red/hsa:2023%09red/hsa:2026%09red/hsa:2027%09red/hsa:6389%09red/hsa:5211%09red/hsa:5232%09red/hsa:4524%09red/hsa:5230%09red/hsa:5315%09red/hsa:5313%09red/hsa:226%09red/hsa:229%09red/hsa:26227%09red/hsa:29968%09red/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:5223%09red/hsa:5224%09red/hsa:2597%09red
Thermogenesis,KEGG PATHWAY,hsa04714,22,231,1.93E-28,4.25E-27,10476|498|6389|1375|521|522|509|506|1374|6392|6390|6391|514|518|517|126129|9551|513|515|10632|539|516,http://www.genome.jp/kegg-bin/show_pathway?hsa04714/hsa:1375%09red/hsa:1374%09red/hsa:517%09red/hsa:516%09red/hsa:515%09red/hsa:514%09red/hsa:513%09red/hsa:539%09red/hsa:10632%09red/hsa:518%09red/hsa:6389%09red/hsa:506%09red/hsa:9551%09red/hsa:498%09red/hsa:522%09red/hsa:509%09red/hsa:521%09red/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:126129%09red/hsa:10476%09red
Biosynthesis of amino acids,KEGG PATHWAY,hsa01230,17,75,5.85E-28,1.03E-26,29968|1491|5223|5232|5313|5315|5224|5230|2026|2027|2023|229|5211|2597|226|230|26227,http://www.genome.jp/kegg-bin/show_pathway?hsa01230/hsa:2023%09red/hsa:230%09red/hsa:226%09red/hsa:2026%09red/hsa:2027%09red/hsa:2597%09red/hsa:5223%09red/hsa:229%09red/hsa:5224%09red/hsa:5211%09red/hsa:26227%09red/hsa:29968%09red/hsa:5230%09red/hsa:5315%09red/hsa:5232%09red/hsa:5313%09red/hsa:1491%09red
Oxidative phosphorylation,KEGG PATHWAY,hsa00190,19,133,1.00E-27,1.47E-26,539|6389|6390|6391|10632|518|10476|498|521|522|509|9551|6392|513|516|515|514|517|506,http://www.genome.jp/kegg-bin/show_pathway?hsa00190/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:10632%09red/hsa:6389%09red/hsa:506%09red/hsa:517%09red/hsa:516%09red/hsa:515%09red/hsa:514%09red/hsa:513%09red/hsa:10476%09red/hsa:9551%09red/hsa:539%09red/hsa:498%09red/hsa:521%09red/hsa:522%09red/hsa:509%09red/hsa:518%09red
Parkinson disease,KEGG PATHWAY,hsa05012,19,142,3.15E-27,3.96E-26,6392|515|6390|6391|514|518|6389|10476|498|539|522|509|506|513|291|292|293|517|516,http://www.genome.jp/kegg-bin/show_pathway?hsa05012/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:516%09red/hsa:514%09red/hsa:522%09red/hsa:6389%09red/hsa:515%09red/hsa:517%09red/hsa:291%09red/hsa:292%09red/hsa:293%09red/hsa:513%09red/hsa:10476%09red/hsa:539%09red/hsa:498%09red/hsa:506%09red/hsa:509%09red/hsa:518%09red
Huntington disease,KEGG PATHWAY,hsa05016,19,193,7.05E-25,7.76E-24,6392|515|6390|6391|514|518|6389|10476|498|539|522|509|506|513|291|292|293|517|516,http://www.genome.jp/kegg-bin/show_pathway?hsa05016/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:516%09red/hsa:514%09red/hsa:522%09red/hsa:6389%09red/hsa:515%09red/hsa:517%09red/hsa:291%09red/hsa:292%09red/hsa:293%09red/hsa:513%09red/hsa:10476%09red/hsa:539%09red/hsa:498%09red/hsa:506%09red/hsa:509%09red/hsa:518%09red
Alzheimer disease,KEGG PATHWAY,hsa05010,17,171,2.13E-22,2.08E-21,2597|6392|515|6390|6391|518|10476|498|539|522|509|506|513|6389|514|517|516,http://www.genome.jp/kegg-bin/show_pathway?hsa05010/hsa:6390%09red/hsa:6391%09red/hsa:6392%09red/hsa:2597%09red/hsa:6389%09red/hsa:506%09red/hsa:517%09red/hsa:516%09red/hsa:515%09red/hsa:514%09red/hsa:513%09red/hsa:10476%09red/hsa:539%09red/hsa:498%09red/hsa:522%09red/hsa:509%09red/hsa:518%09red
Pyrimidine metabolism,KEGG PATHWAY,hsa00240,12,57,1.15E-19,1.01E-18,151531|1635|790|4831|7372|4832|51727|10201|139596|4860|29922|4830,http://www.genome.jp/kegg-bin/show_pathway?hsa00240/hsa:790%09red/hsa:4830%09red/hsa:29922%09red/hsa:4860%09red/hsa:139596%09red/hsa:7372%09red/hsa:4832%09red/hsa:4831%09red/hsa:1635%09red/hsa:151531%09red/hsa:10201%09red/hsa:51727%09red
HIF-1 signaling pathway,KEGG PATHWAY,hsa04066,10,109,2.85E-13,2.28E-12,2597|5230|5232|2023|2026|2027|229|5211|226|230,http://www.genome.jp/kegg-bin/show_pathway?hsa04066/hsa:2023%09red/hsa:230%09red/hsa:226%09red/hsa:2026%09red/hsa:2027%09red/hsa:2597%09red/hsa:229%09red/hsa:5211%09red/hsa:5232%09red/hsa:5230%09red
Tryptophan metabolism,KEGG PATHWAY,hsa00380,8,42,3.55E-13,2.60E-12,217|1544|1545|1543|219|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00380/hsa:224%09red/hsa:223%09red/hsa:219%09red/hsa:501%09red/hsa:1544%09red/hsa:1545%09red/hsa:217%09red/hsa:1543%09red
Fatty acid degradation,KEGG PATHWAY,hsa00071,8,44,4.96E-13,3.35E-12,217|219|1375|1374|126129|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00071/hsa:224%09red/hsa:126129%09red/hsa:223%09red/hsa:1375%09red/hsa:1374%09red/hsa:219%09red/hsa:501%09red/hsa:217%09red
Pentose phosphate pathway,KEGG PATHWAY,hsa00030,7,30,3.19E-12,2.00E-11,55276|229|5211|226|230|2821|51071,http://www.genome.jp/kegg-bin/show_pathway?hsa00030/hsa:230%09red/hsa:226%09red/hsa:229%09red/hsa:51071%09red/hsa:5211%09red/hsa:55276%09red/hsa:2821%09red
Pyruvate metabolism,KEGG PATHWAY,hsa00620,7,39,1.63E-11,9.55E-11,217|5313|5315|219|224|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00620/hsa:224%09red/hsa:223%09red/hsa:219%09red/hsa:501%09red/hsa:5315%09red/hsa:5313%09red/hsa:217%09red
"Glycine, serine and threonine metabolism",KEGG PATHWAY,hsa00260,7,40,1.91E-11,1.05E-10,29968|669|5223|5224|1491|26227|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00260/hsa:669%09red/hsa:5223%09red/hsa:5224%09red/hsa:29968%09red/hsa:26227%09red/hsa:501%09red/hsa:1491%09red
Drug metabolism - other enzymes,KEGG PATHWAY,hsa00983,8,79,3.60E-11,1.86E-10,151531|4831|7372|4832|51727|10201|29922|4830,http://www.genome.jp/kegg-bin/show_pathway?hsa00983/hsa:29922%09red/hsa:7372%09red/hsa:4832%09red/hsa:4831%09red/hsa:4830%09red/hsa:151531%09red/hsa:10201%09red/hsa:51727%09red
Purine metabolism,KEGG PATHWAY,hsa00230,9,130,4.94E-11,2.42E-10,4831|4830|55276|4832|5315|5313|10201|4860|29922,http://www.genome.jp/kegg-bin/show_pathway?hsa00230/hsa:29922%09red/hsa:4860%09red/hsa:4832%09red/hsa:4831%09red/hsa:4830%09red/hsa:5315%09red/hsa:10201%09red/hsa:55276%09red/hsa:5313%09red
Histidine metabolism,KEGG PATHWAY,hsa00340,5,23,6.24E-09,2.89E-08,217|224|219|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00340/hsa:219%09red/hsa:224%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
Glucagon signaling pathway,KEGG PATHWAY,hsa04922,7,106,1.03E-08,4.55E-08,5223|126129|5315|5224|1375|1374|5211,http://www.genome.jp/kegg-bin/show_pathway?hsa04922/hsa:126129%09red/hsa:5223%09red/hsa:1374%09red/hsa:5224%09red/hsa:5211%09red/hsa:5315%09red/hsa:1375%09red
Ascorbate and aldarate metabolism,KEGG PATHWAY,hsa00053,5,27,1.27E-08,5.31E-08,217|224|219|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00053/hsa:219%09red/hsa:224%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
beta-Alanine metabolism,KEGG PATHWAY,hsa00410,5,33,3.13E-08,1.25E-07,217|224|219|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00410/hsa:219%09red/hsa:224%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
"Valine, leucine and isoleucine degradation",KEGG PATHWAY,hsa00280,5,48,1.74E-07,6.65E-07,217|224|219|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00280/hsa:219%09red/hsa:224%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
Arginine and proline metabolism,KEGG PATHWAY,hsa00330,5,50,2.10E-07,7.70E-07,217|224|219|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00330/hsa:219%09red/hsa:224%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
One carbon pool by folate,KEGG PATHWAY,hsa00670,4,20,3.00E-07,1.06E-06,10797|4524|441024|4522,http://www.genome.jp/kegg-bin/show_pathway?hsa00670/hsa:441024%09red/hsa:4522%09red/hsa:10797%09red/hsa:4524%09red
Fatty acid metabolism,KEGG PATHWAY,hsa01212,5,57,3.85E-07,1.30E-06,79966|6319|1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa01212/hsa:6319%09red/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red/hsa:79966%09red
Lysine degradation,KEGG PATHWAY,hsa00310,5,59,4.52E-07,1.47E-06,217|224|219|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00310/hsa:219%09red/hsa:224%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
Glycerolipid metabolism,KEGG PATHWAY,hsa00561,5,61,5.28E-07,1.66E-06,217|224|219|223|501,http://www.genome.jp/kegg-bin/show_pathway?hsa00561/hsa:219%09red/hsa:224%09red/hsa:501%09red/hsa:223%09red/hsa:217%09red
AMPK signaling pathway,KEGG PATHWAY,hsa04152,6,120,5.81E-07,1.76E-06,79966|126129|1375|1374|5211|6319,http://www.genome.jp/kegg-bin/show_pathway?hsa04152/hsa:126129%09red/hsa:5211%09red/hsa:1375%09red/hsa:1374%09red/hsa:79966%09red/hsa:6319%09red
Central carbon metabolism in cancer,KEGG PATHWAY,hsa05230,5,69,9.38E-07,2.75E-06,5223|9123|5224|5315|5211,http://www.genome.jp/kegg-bin/show_pathway?hsa05230/hsa:5315%09red/hsa:5211%09red/hsa:5223%09red/hsa:5224%09red/hsa:9123%09red
Citrate cycle (TCA cycle),KEGG PATHWAY,hsa00020,4,30,1.29E-06,3.65E-06,6392|6390|6391|6389,http://www.genome.jp/kegg-bin/show_pathway?hsa00020/hsa:6390%09red/hsa:6391%09red/hsa:6389%09red/hsa:6392%09red
PPAR signaling pathway,KEGG PATHWAY,hsa03320,5,76,1.47E-06,4.05E-06,79966|6319|1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa03320/hsa:6319%09red/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red/hsa:79966%09red
Fructose and mannose metabolism,KEGG PATHWAY,hsa00051,4,33,1.82E-06,4.86E-06,226|230|229|5211,http://www.genome.jp/kegg-bin/show_pathway?hsa00051/hsa:5211%09red/hsa:230%09red/hsa:226%09red/hsa:229%09red
Non-alcoholic fatty liver disease (NAFLD),KEGG PATHWAY,hsa04932,5,149,3.39E-05,8.78E-05,5313|6392|6390|6391|6389,http://www.genome.jp/kegg-bin/show_pathway?hsa04932/hsa:6390%09red/hsa:6391%09red/hsa:6389%09red/hsa:6392%09red/hsa:5313%09red
RNA degradation,KEGG PATHWAY,hsa03018,4,79,4.66E-05,0.000117235,2026|2027|2023|5211,http://www.genome.jp/kegg-bin/show_pathway?hsa03018/hsa:5211%09red/hsa:2026%09red/hsa:2027%09red/hsa:2023%09red
Chemical carcinogenesis,KEGG PATHWAY,hsa05204,4,82,5.36E-05,0.000131003,1544|1545|1543|1557,http://www.genome.jp/kegg-bin/show_pathway?hsa05204/hsa:1544%09red/hsa:1545%09red/hsa:1543%09red/hsa:1557%09red
Cysteine and methionine metabolism,KEGG PATHWAY,hsa00270,3,49,0.000259936,0.000618227,1491|29968|26227,http://www.genome.jp/kegg-bin/show_pathway?hsa00270/hsa:26227%09red/hsa:29968%09red/hsa:1491%09red
Steroid hormone biosynthesis,KEGG PATHWAY,hsa00140,3,60,0.000458377,0.001061505,1544|1545|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa00140/hsa:1544%09red/hsa:1545%09red/hsa:1543%09red
Adipocytokine signaling pathway,KEGG PATHWAY,hsa04920,3,69,0.000677919,0.001529664,1375|1374|126129,http://www.genome.jp/kegg-bin/show_pathway?hsa04920/hsa:1375%09red/hsa:1374%09red/hsa:126129%09red
Inositol phosphate metabolism,KEGG PATHWAY,hsa00562,3,74,0.000824424,0.001813732,5288|5287|5286,http://www.genome.jp/kegg-bin/show_pathway?hsa00562/hsa:5288%09red/hsa:5287%09red/hsa:5286%09red
Metabolism of xenobiotics by cytochrome P450,KEGG PATHWAY,hsa00980,3,76,0.000888211,0.001906404,1544|1545|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa00980/hsa:1544%09red/hsa:1545%09red/hsa:1543%09red
Phosphatidylinositol signaling system,KEGG PATHWAY,hsa04070,3,99,0.001854443,0.0038855,5288|5287|5286,http://www.genome.jp/kegg-bin/show_pathway?hsa04070/hsa:5288%09red/hsa:5287%09red/hsa:5286%09red
Biosynthesis of unsaturated fatty acids,KEGG PATHWAY,hsa01040,2,27,0.002153513,0.00440719,79966|6319,http://www.genome.jp/kegg-bin/show_pathway?hsa01040/hsa:6319%09red/hsa:79966%09red
Linoleic acid metabolism,KEGG PATHWAY,hsa00591,2,29,0.002458896,0.004917793,1544|1557,http://www.genome.jp/kegg-bin/show_pathway?hsa00591/hsa:1544%09red/hsa:1557%09red
Nicotinate and nicotinamide metabolism,KEGG PATHWAY,hsa00760,2,30,0.002618798,0.005121205,23530|4860,http://www.genome.jp/kegg-bin/show_pathway?hsa00760/hsa:23530%09red/hsa:4860%09red
Galactose metabolism,KEGG PATHWAY,hsa00052,2,31,0.002783476,0.00532491,55276|5211,http://www.genome.jp/kegg-bin/show_pathway?hsa00052/hsa:55276%09red/hsa:5211%09red
Starch and sucrose metabolism,KEGG PATHWAY,hsa00500,2,36,0.003677703,0.006742455,55276|2821,http://www.genome.jp/kegg-bin/show_pathway?hsa00500/hsa:55276%09red/hsa:2821%09red
"Alanine, aspartate and glutamate metabolism",KEGG PATHWAY,hsa00250,2,36,0.003677703,0.006742455,56954|790,http://www.genome.jp/kegg-bin/show_pathway?hsa00250/hsa:790%09red/hsa:56954%09red
Type II diabetes mellitus,KEGG PATHWAY,hsa04930,2,46,0.005811319,0.010436655,5313|5315,http://www.genome.jp/kegg-bin/show_pathway?hsa04930/hsa:5315%09red/hsa:5313%09red
Amino sugar and nucleotide sugar metabolism,KEGG PATHWAY,hsa00520,2,48,0.006291758,0.011073495,55276|2821,http://www.genome.jp/kegg-bin/show_pathway?hsa00520/hsa:55276%09red/hsa:2821%09red
Ovarian steroidogenesis,KEGG PATHWAY,hsa04913,2,49,0.00653855,0.011282204,1545|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa04913/hsa:1545%09red/hsa:1543%09red
Cellular senescence,KEGG PATHWAY,hsa04218,3,160,0.006900716,0.011678135,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa04218/hsa:291%09red/hsa:292%09red/hsa:293%09red
Necroptosis,KEGG PATHWAY,hsa04217,3,162,0.00713531,0.011847308,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa04217/hsa:291%09red/hsa:292%09red/hsa:293%09red
cGMP-PKG signaling pathway,KEGG PATHWAY,hsa04022,3,167,0.007742358,0.012387772,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa04022/hsa:291%09red/hsa:292%09red/hsa:293%09red
Influenza A,KEGG PATHWAY,hsa05164,3,167,0.007742358,0.012387772,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa05164/hsa:291%09red/hsa:292%09red/hsa:293%09red
Calcium signaling pathway,KEGG PATHWAY,hsa04020,3,193,0.011383411,0.017888217,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa04020/hsa:291%09red/hsa:292%09red/hsa:293%09red
Retinol metabolism,KEGG PATHWAY,hsa00830,2,67,0.011704575,0.018070221,1544|1543,http://www.genome.jp/kegg-bin/show_pathway?hsa00830/hsa:1544%09red/hsa:1543%09red
Drug metabolism - cytochrome P450,KEGG PATHWAY,hsa00982,2,72,0.013373387,0.020290657,1544|1557,http://www.genome.jp/kegg-bin/show_pathway?hsa00982/hsa:1544%09red/hsa:1557%09red
Caffeine metabolism,KEGG PATHWAY,hsa00232,1,5,0.014102432,0.021034137,1544,http://www.genome.jp/kegg-bin/show_pathway?hsa00232/hsa:1544%09red
Human T-cell leukemia virus 1 infection,KEGG PATHWAY,hsa05166,3,219,0.015861802,0.023263976,292|293|291,http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:291%09red/hsa:292%09red/hsa:293%09red
Vitamin B6 metabolism,KEGG PATHWAY,hsa00750,1,6,0.016433634,0.023707537,29968,http://www.genome.jp/kegg-bin/show_pathway?hsa00750/hsa:29968%09red
Glycerophospholipid metabolism,KEGG PATHWAY,hsa00564,2,97,0.023122747,0.032819383,9791|5337,http://www.genome.jp/kegg-bin/show_pathway?hsa00564/hsa:5337%09red/hsa:9791%09red
Insulin resistance,KEGG PATHWAY,hsa04931,2,108,0.028103315,0.039255424,1375|1374,http://www.genome.jp/kegg-bin/show_pathway?hsa04931/hsa:1375%09red/hsa:1374%09red
Selenocompound metabolism,KEGG PATHWAY,hsa00450,1,17,0.041719704,0.057364592,1491,http://www.genome.jp/kegg-bin/show_pathway?hsa00450/hsa:1491%09red
Maturity onset diabetes of the young,KEGG PATHWAY,hsa04950,1,26,0.061929116,0.083842495,5313,http://www.genome.jp/kegg-bin/show_pathway?hsa04950/hsa:5313%09red
Antifolate resistance,KEGG PATHWAY,hsa01523,1,31,0.072973783,0.097298377,4524,http://www.genome.jp/kegg-bin/show_pathway?hsa01523/hsa:4524%09red
Vasopressin-regulated water reabsorption,KEGG PATHWAY,hsa04962,1,44,0.101091503,0.1327769,4905,http://www.genome.jp/kegg-bin/show_pathway?hsa04962/hsa:4905%09red
Ether lipid metabolism,KEGG PATHWAY,hsa00565,1,47,0.107459433,0.139065148,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa00565/hsa:5337%09red
Arachidonic acid metabolism,KEGG PATHWAY,hsa00590,1,63,0.140675491,0.17941222,1557,http://www.genome.jp/kegg-bin/show_pathway?hsa00590/hsa:1557%09red
Pancreatic cancer,KEGG PATHWAY,hsa05212,1,75,0.164782251,0.20715483,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa05212/hsa:5337%09red
Synaptic vesicle cycle,KEGG PATHWAY,hsa04721,1,78,0.170703652,0.211576357,4905,http://www.genome.jp/kegg-bin/show_pathway?hsa04721/hsa:4905%09red
GABAergic synapse,KEGG PATHWAY,hsa04727,1,89,0.192062306,0.234742819,4905,http://www.genome.jp/kegg-bin/show_pathway?hsa04727/hsa:4905%09red
GnRH signaling pathway,KEGG PATHWAY,hsa04912,1,93,0.199693403,0.239728659,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04912/hsa:5337%09red
Fc gamma R-mediated phagocytosis,KEGG PATHWAY,hsa04666,1,94,0.201590009,0.239728659,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04666/hsa:5337%09red
Choline metabolism in cancer,KEGG PATHWAY,hsa05231,1,99,0.211006548,0.247581017,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa05231/hsa:5337%09red
"Parathyroid hormone synthesis, secretion and action",KEGG PATHWAY,hsa04928,1,106,0.224005391,0.259374663,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04928/hsa:5337%09red
Glutamatergic synapse,KEGG PATHWAY,hsa04724,1,114,0.238601949,0.271228764,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04724/hsa:5337%09red
Serotonergic synapse,KEGG PATHWAY,hsa04726,1,115,0.240407314,0.271228764,1557,http://www.genome.jp/kegg-bin/show_pathway?hsa04726/hsa:1557%09red
Sphingolipid signaling pathway,KEGG PATHWAY,hsa04071,1,119,0.247586523,0.275792583,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04071/hsa:5337%09red
Insulin signaling pathway,KEGG PATHWAY,hsa04910,1,137,0.279071136,0.306978249,5313,http://www.genome.jp/kegg-bin/show_pathway?hsa04910/hsa:5313%09red
Phospholipase D signaling pathway,KEGG PATHWAY,hsa04072,1,148,0.297666389,0.323390645,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04072/hsa:5337%09red
Viral carcinogenesis,KEGG PATHWAY,hsa05203,1,201,0.380819386,0.408684219,5315,http://www.genome.jp/kegg-bin/show_pathway?hsa05203/hsa:5315%09red
cAMP signaling pathway,KEGG PATHWAY,hsa04024,1,214,0.399680245,0.423757369,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04024/hsa:5337%09red
Ras signaling pathway,KEGG PATHWAY,hsa04014,1,232,0.424860309,0.445091752,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04014/hsa:5337%09red
Endocytosis,KEGG PATHWAY,hsa04144,1,244,0.441063619,0.456630571,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa04144/hsa:5337%09red
MicroRNAs in cancer,KEGG PATHWAY,hsa05206,1,299,0.509736054,0.52159038,1545,http://www.genome.jp/kegg-bin/show_pathway?hsa05206/hsa:1545%09red
Human papillomavirus infection,KEGG PATHWAY,hsa05165,1,330,0.544691902,0.550952729,5315,http://www.genome.jp/kegg-bin/show_pathway?hsa05165/hsa:5315%09red
Pathways in cancer,KEGG PATHWAY,hsa05200,1,530,0.71788021,0.71788021,5337,http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:5337%09red
